Stream,Depth
Metadata Attribute,Value
Frame Counter,29
Frame Timestamp,4189559603
Sensor Timestamp,4189527143
Actual Exposure,64921
Gain Level,20
Auto Exposure,1
Time Of Arrival,1790062748692
Backend Timestamp,1790062748637
Actual Fps,15198
Frame Laser Power,150
Frame Laser Power Mode,1
Exposure Priority,1
Exposure Roi Left,80
Exposure Roi Right,560
Exposure Roi Top,60
Exposure Roi Bottom,420
Frame Emitter Mode,1
Raw Frame Size,614400
Gpio Input Data,0
Sequence Name,0
Sequence Id,0
Sequence Size,0
